UV,SolarRad,Avg_Wind,Rel_humidity,pop_Density,StringyInd,PM25,DailyTemp,Precipitation,DailyCases,DailyDeath,TotPop,CSR
5,16.9,16,65,18.14854727,60.19,28,8.7,26.41872374,5176,220,5520314,0.000937628
5,15.9,16,70,122.2994372,87.96,51,12.8,98.83404158,166976,24729,67059887,0.002489953
4,15.7,5.1,63.8,83.26518231,84.26,44,16.7,24.84065003,2620,143,10716322,0.000244487
6,11.8,17,81.5,7096.190476,66.67,91,26,293.3564491,1039,4,7507400,0.000138397
3,13,14,60,107.9814868,76.85,29,14.8,62.69423783,2942,335,9769949,0.000301127
7,23.6,12,40,454.9380726,96.3,53,31.2,5.846335518,39699,1323,1366417754,2.91E-05
7,16.8,9,81.5,147.7521901,80.09,109,26.5,175.2503719,10843,831,270625568,4.01E-05
6,30.2,16,65,410.4805915,84.26,75,19,5.411286629,16185,229,9053300,0.001787746
5,10.1,9,74,205.4183722,93.52,42,18.3,65.73561185,209328,28710,60297396,0.003471593
5,10.9,20,65,347.0734584,47.22,60,20.9,219.666651,14861,536,126264931,0.000117697
7,15.6,12.6,54,6.769825721,89.35,24,16,29.75302646,3857,25,18513930,0.00020833
5,20.1,12.2,65.8,550.4,72.69,104,22.8,149.9367646,1936,173,545724,0.003547581
6,16.8,10.9,69.2,413.1,72.69,41,27.2,101.4778062,234,3,293582,0.000797052
6,24.1,13.5,74.5,8092.3,72.69,104,26.1,5.675166182,25699,1209,3979537,0.006457786
6,12.8,9,80,95.96282149,73.15,42,29.4,154.2255633,6176,103,31949777,0.000193303
9,29.6,11.3,20.6,414.9,72.69,21,30.7,1.409491315,4585,147,4485414,0.001022202
6,19.9,5.7,91,64.91462641,82.41,58,20.1,40.83995988,22088,2061,127575529,0.000173137
4,19,11.1,66.5,1704.9,72.69,19,13.9,38.71949245,739,46,812855,0.000909141
5,26.9,16,74.5,511.4759276,79.63,26,13.3,48.30962174,40236,4987,17332850,0.002321372
6,14.5,13,73.1,2029.4,72.69,25,22.6,155.4934157,6538,439,390144,0.016757915
5,12.6,17.9,62,27012.5,72.69,11,17.8,140.5623519,22741,1966,8336817,0.00272778
4,13.3,15.8,85,18.38517337,83.33,28,18.5,111.9558078,1487,20,4917000,0.00030242
4,18.8,19.7,78.9,244.1,72.69,12,6.2,120.9907648,259,3,108860,0.002379203
4,12.4,16,63,82.59151467,84.26,53,12.8,36.95833554,1506,82,2083459,0.000722836
6,25.8,12,65,14.54829163,67.59,23,9.3,72.8892911,7809,211,5347896,0.0014602
6,20.4,18.7,70.6,956.4,72.69,29,31.1,171.9795141,838,33,655158,0.001279081
3,21.6,12.3,65.1,14.8,72.69,13,11,81.68648025,18321,1292,13448494,0.001362309
6,24.1,12,40,275.2893187,89.81,96,25.5,27.51979762,20084,457,216565318,9.27E-05
4,17.2,14,70,124.0234822,83.33,73,27.8,71.47354897,13375,664,37970874,0.000352244
3,8.7,8,68,79.8376858,96.3,38,13.1,97.5984477,9362,189,6944975,0.001348025
7,16,9,84,7952.998418,76.85,33,28.6,129.9641633,17548,17,5703569,0.00307667
3,11.9,14,64,113.2855865,73.15,40,14.4,106.9563863,1407,24,5454073,0.000257972
6,28.3,7.6,57.7,47.63011978,84.26,16,14.8,40.20240949,6336,123,58558270,0.0001082
5,20.1,12,65,529.3585013,43.52,25,20.2,147.768843,10793,250,51709098,0.000208725
5,22.1,17,54,93.67719744,85.19,63,21.1,31.73014913,216582,25100,47076781,0.004600612
6,19.2,8,79.5,345.558922,79.63,71,30.8,255.7488948,705,7,21803000,3.23E-05
7,17.9,16,80,658,31.48,72,31,151.4218183,432,6,23855010,1.81E-05
7,10.8,9,75,135.8972068,76.85,52,31.6,124.6680684,2966,54,69625582,4.26E-05
6,18.2,17,70,106.9601289,75.93,50,19.7,66.43078826,124375,3336,83429615,0.001490778
4,22.6,14.4,62,77.0296708,88.89,29,17.9,31.57408723,11411,279,44385155,0.00025709
9,32.3,9,50,135.6091101,77.78,95,32.9,9.91059154,13599,119,9770529,0.001391839
5,17.8,10.6,70,274.7089819,79.63,60,11.8,43.93270132,185491,27965,66834405,0.002775382
3,7.5,20,56,27,69.44,14,10.1,55.35788415,1384,18,4485213,0.00030857
